index,before_drinks_n,before_drinks_price,before_pizza_n,before_pizza_price,before_total_price,during_drinks_n,during_drinks_price,during_pizza_n,during_pizza_price,during_total_price
118,0,0,2,1440,1440,0,0,2,1500,1500
119,0,0,2,1320,1320,0,0,2,1560,1560
120,0,0,3,2280,2280,0,0,3,2040,2040
121,1,70,1,800,870,1,90,1,690,780
122,1,80,1,640,720,0,0,1,780,780
123,2,170,4,2950,3120,1,90,4,2970,3060
124,0,0,2,1260,1260,1,80,2,1210,1290
125,0,0,1,780,780,0,0,1,780,780
126,0,0,1,840,840,1,80,1,610,690
127,0,0,1,600,600,0,0,1,660,660
128,0,0,1,600,600,1,80,1,670,750
129,0,0,1,840,840,0,0,1,780,780
130,0,0,1,720,720,1,80,1,730,810
131,1,80,3,2170,2250,1,80,3,2230,2310
132,1,70,2,1490,1560,0,0,2,1560,1560
133,0,0,2,1380,1380,1,70,2,1520,1590
134,0,0,1,600,600,0,0,1,720,720
135,0,0,1,540,540,0,0,1,540,540
136,0,0,1,540,540,0,0,1,600,600
137,1,90,1,660,750,1,70,1,680,750
138,0,0,1,780,780,0,0,1,780,780
139,0,0,3,2340,2340,2,150,3,2220,2370
140,0,0,2,1620,1620,0,0,2,1380,1380
141,1,90,3,2460,2550,1,70,4,2540,2610
142,1,80,2,1330,1410,0,0,2,1500,1500
143,0,0,1,600,600,1,80,1,670,750
144,0,0,1,720,720,0,0,1,720,720
145,0,0,1,780,780,0,0,1,780,780
146,1,80,1,550,630,0,0,1,660,660
147,1,80,2,1270,1350,0,0,2,1380,1380
148,0,0,1,600,600,0,0,1,780,780
149,1,70,2,1670,1740,0,0,2,1440,1440
150,0,0,3,1980,1980,1,70,3,2120,2190
151,1,80,1,610,690,0,0,1,720,720
152,0,0,2,1320,1320,1,80,2,1270,1350
153,1,80,1,730,810,1,70,1,740,810
154,1,80,1,730,810,1,80,1,670,750
155,1,70,2,1460,1530,0,0,2,1440,1440
156,1,80,1,760,840,1,80,1,790,870
157,0,0,2,1320,1320,1,90,2,1380,1470
158,0,0,1,540,540,0,0,1,720,720
159,1,90,3,2040,2130,0,0,3,2340,2340
160,1,80,1,610,690,1,80,1,610,690
161,0,0,1,840,840,1,90,1,660,750
162,1,80,2,1690,1770,1,80,3,1750,1830
163,2,170,2,1210,1380,1,70,2,1340,1410
164,1,90,1,660,750,1,80,1,670,750
165,0,0,1,720,720,0,0,1,600,600
166,0,0,1,660,660,1,90,1,600,690
167,1,70,1,680,750,0,0,1,720,720
168,0,0,1,720,720,1,80,1,670,750
169,0,0,1,720,720,1,80,1,790,870
170,1,80,1,820,900,1,80,1,850,930
171,1,70,1,800,870,0,0,1,600,600
172,1,90,1,660,750,0,0,1,720,720
173,0,0,1,540,540,0,0,1,540,540
174,1,80,1,730,810,0,0,1,720,720
175,0,0,3,2280,2280,1,70,3,2210,2280
176,1,90,1,600,690,0,0,1,600,600
177,1,80,1,550,630,0,0,1,540,540
178,1,80,3,2410,2490,1,80,3,2440,2520
179,1,90,1,840,930,1,80,1,610,690
180,0,0,1,780,780,1,80,1,550,630
181,0,0,2,1320,1320,0,0,2,1320,1320
182,1,90,4,2970,3060,1,80,4,2920,3000
183,1,80,4,2830,2910,1,90,4,2760,2850
184,0,0,2,1560,1560,0,0,2,1560,1560
185,1,80,2,1570,1650,1,70,2,1280,1350
186,0,0,1,660,660,0,0,1,660,660
187,1,70,1,740,810,0,0,1,780,780
188,0,0,1,660,660,1,80,1,610,690
189,1,80,1,610,690,0,0,1,540,540
190,0,0,2,1440,1440,1,80,2,1360,1440
191,1,80,3,2050,2130,1,70,3,2210,2280
192,0,0,2,1620,1620,1,90,2,1620,1710
193,1,80,2,1450,1530,0,0,2,1560,1560
194,0,0,1,600,600,0,0,1,600,600
195,1,90,1,660,750,1,90,1,660,750
196,0,0,2,1260,1260,0,0,2,1200,1200
197,1,70,2,1580,1650,0,0,2,1440,1440
198,1,70,2,1370,1440,0,0,2,1440,1440
199,1,70,1,620,690,0,0,1,720,720
200,1,80,2,1360,1440,1,80,2,1390,1470
201,0,0,1,780,780,1,70,1,620,690
202,1,90,1,720,810,0,0,1,840,840
203,0,0,1,600,600,0,0,1,540,540
204,1,80,1,670,750,0,0,1,720,720
205,0,0,1,840,840,0,0,1,780,780
206,2,170,5,3610,3780,0,0,5,3420,3420
207,0,0,1,720,720,1,80,1,520,600
208,0,0,1,660,660,1,70,1,800,870
209,1,70,2,1460,1530,1,70,2,1100,1170
210,0,0,1,840,840,1,90,1,600,690
211,0,0,1,660,660,0,0,1,660,660
212,0,0,1,840,840,1,80,1,610,690
213,0,0,1,840,840,1,80,1,790,870
214,0,0,2,1320,1320,1,70,2,1520,1590
215,0,0,1,600,600,1,70,1,560,630
216,0,0,1,600,600,0,0,1,600,600
217,0,0,1,780,780,1,80,1,730,810
218,0,0,1,780,780,0,0,1,780,780
219,1,90,1,630,720,1,70,1,620,690
220,1,80,1,730,810,0,0,1,720,720
221,1,70,1,830,900,1,70,1,800,870
222,0,0,1,780,780,0,0,1,780,780
223,1,70,1,740,810,0,0,1,840,840
224,0,0,1,600,600,0,0,1,540,540
225,1,80,2,1330,1410,1,70,2,1340,1410
226,0,0,1,540,540,0,0,1,540,540
227,1,90,2,1380,1470,1,80,2,1330,1410
228,1,80,1,760,840,0,0,1,780,780
229,0,0,1,720,720,0,0,1,540,540
230,0,0,1,660,660,0,0,1,660,660
231,1,80,1,550,630,1,80,1,550,630
232,0,0,1,540,540,0,0,1,600,600
233,1,80,1,790,870,1,80,1,730,810
234,0,0,1,780,780,0,0,1,780,780
235,0,0,2,1380,1380,0,0,2,1440,1440
236,1,70,2,1280,1350,0,0,2,1440,1440
237,0,0,1,780,780,1,90,1,810,900
238,0,0,1,600,600,0,0,1,780,780
239,1,90,3,2100,2190,1,80,3,2020,2100
240,0,0,1,780,780,1,80,1,730,810
241,1,80,4,2830,2910,2,170,4,2440,2610
242,1,90,1,510,600,0,0,1,780,780
243,0,0,1,660,660,0,0,1,840,840
244,0,0,2,1440,1440,1,70,2,1340,1410
245,0,0,3,1800,1800,1,80,3,1720,1800
246,0,0,2,1320,1320,0,0,2,1320,1320
247,2,170,9,6490,6660,2,170,9,6310,6480
248,1,90,1,780,870,1,80,1,790,870
249,0,0,1,540,540,0,0,1,600,600
250,0,0,1,780,780,0,0,1,780,780
251,0,0,2,1320,1320,0,0,2,1560,1560
252,1,70,1,590,660,1,80,1,580,660
253,1,70,1,620,690,0,0,1,780,780
254,1,90,2,1560,1650,0,0,2,1620,1620
255,0,0,1,540,540,0,0,1,600,600
256,1,90,2,1500,1590,1,90,2,1200,1290
257,1,70,2,1520,1590,1,90,2,1440,1530
258,0,0,1,720,720,0,0,1,660,660
259,1,80,2,1270,1350,1,80,2,1120,1200
260,0,0,1,660,660,1,80,1,730,810
261,2,150,3,2340,2490,0,0,4,2520,2520
262,0,0,3,2280,2280,1,80,3,1900,1980
263,0,0,1,840,840,0,0,1,840,840
264,1,80,1,610,690,0,0,1,600,600
265,0,0,1,600,600,0,0,1,840,840
266,2,170,3,2080,2250,0,0,3,2220,2220
267,0,0,2,1440,1440,1,90,2,1380,1470
268,0,0,4,2820,2820,1,80,4,2890,2970
269,0,0,1,540,540,0,0,1,780,780
270,1,70,1,620,690,1,70,1,620,690
271,0,0,1,660,660,0,0,1,780,780
272,1,80,1,790,870,0,0,1,600,600
273,1,80,1,610,690,1,70,1,590,660
274,1,80,1,790,870,0,0,1,780,780
275,1,70,1,800,870,1,80,1,820,900
276,0,0,1,660,660,1,80,1,730,810
277,1,90,3,2220,2310,1,90,3,2220,2310
278,1,90,2,1440,1530,0,0,2,1500,1500
279,1,90,1,750,840,1,80,1,790,870
280,0,0,1,600,600,0,0,1,600,600
281,0,0,1,780,780,0,0,1,540,540
282,0,0,3,2220,2220,0,0,3,2220,2220
283,0,0,1,600,600,0,0,1,600,600
284,1,90,1,600,690,1,70,1,620,690
285,0,0,2,1380,1380,0,0,2,1500,1500
286,0,0,2,1440,1440,0,0,2,1440,1440
287,0,0,1,780,780,0,0,1,780,780
288,0,0,1,600,600,0,0,1,600,600
289,1,80,1,670,750,0,0,1,600,600
290,0,0,2,1320,1320,0,0,2,1560,1560
291,0,0,1,720,720,0,0,1,780,780
292,1,70,3,2150,2220,0,0,3,1980,1980
293,0,0,5,3540,3540,2,170,5,3340,3510
294,1,70,3,1940,2010,1,90,3,2130,2220
295,0,0,6,4020,4020,0,0,6,4380,4380
296,1,90,2,1440,1530,1,80,2,1300,1380
297,0,0,1,780,780,0,0,1,780,780
298,0,0,1,840,840,1,70,1,560,630
299,0,0,1,780,780,1,80,1,670,750
300,0,0,2,1620,1620,0,0,2,1320,1320
301,0,0,1,780,780,0,0,1,780,780
302,1,70,1,770,840,1,90,1,510,600
303,0,0,2,1440,1440,0,0,2,1440,1440
304,0,0,1,540,540,0,0,1,540,540
305,0,0,1,840,840,1,90,1,720,810
306,0,0,3,1980,1980,1,90,3,2130,2220
307,1,90,2,1200,1290,1,90,2,1260,1350
308,1,80,1,550,630,1,80,1,520,600
309,0,0,1,600,600,0,0,1,600,600
310,1,80,1,730,810,0,0,1,660,660
311,0,0,3,1920,1920,1,90,3,2220,2310
312,0,0,2,1440,1440,0,0,2,1440,1440
313,0,0,2,1440,1440,0,0,2,1320,1320
314,0,0,2,1380,1380,1,90,2,1350,1440
315,0,0,1,720,720,0,0,1,780,780
316,0,0,2,1320,1320,0,0,2,1380,1380
317,0,0,1,600,600,0,0,1,600,600
318,0,0,1,780,780,0,0,1,600,600
319,0,0,1,720,720,1,80,1,670,750
320,0,0,1,780,780,0,0,1,540,540
321,1,80,4,2830,2910,0,0,4,3000,3000
322,1,70,1,620,690,0,0,1,540,540
323,1,70,3,2120,2190,0,0,3,1980,1980
324,0,0,1,600,600,0,0,1,600,600
325,0,0,1,600,600,0,0,1,600,600
326,0,0,1,720,720,0,0,1,600,600
327,0,0,3,1800,1800,0,0,3,1800,1800
328,1,70,5,3410,3480,0,0,5,3420,3420
329,1,80,1,760,840,0,0,1,600,600
330,0,0,2,1560,1560,2,150,2,1350,1500
331,0,0,2,1380,1380,0,0,2,1560,1560
332,0,0,1,660,660,1,80,1,730,810
333,2,150,2,1380,1530,0,0,2,1560,1560
334,1,90,2,1440,1530,0,0,2,1500,1500
335,0,0,2,1500,1500,1,70,2,1400,1470
336,1,70,3,2300,2370,1,90,3,2070,2160
337,0,0,2,1380,1380,0,0,2,1440,1440
338,0,0,1,780,780,0,0,1,600,600
339,1,90,1,540,630,1,90,1,690,780
340,0,0,1,540,540,0,0,1,600,600
341,2,150,3,2250,2400,1,90,3,2310,2400
342,1,70,1,620,690,0,0,1,840,840
343,0,0,1,720,720,1,80,1,520,600
344,1,80,2,1450,1530,0,0,2,1260,1260
345,0,0,3,2160,2160,0,0,3,2280,2280
346,0,0,1,540,540,0,0,1,780,780
347,0,0,1,780,780,0,0,1,780,780
348,1,80,1,700,780,1,80,1,790,870
349,1,90,2,1560,1650,2,170,2,1480,1650
350,1,80,2,1270,1350,1,80,2,1270,1350
351,0,0,1,720,720,0,0,1,720,720
352,1,80,1,670,750,0,0,1,720,720
353,2,150,4,2670,2820,1,70,4,2720,2790
354,1,70,2,1550,1620,0,0,2,1500,1500
355,1,70,1,740,810,0,0,1,660,660
356,1,70,4,2570,2640,1,90,4,2460,2550
357,1,90,1,660,750,0,0,1,720,720
358,0,0,1,840,840,0,0,1,540,540
359,0,0,1,540,540,0,0,1,540,540
360,0,0,1,660,660,0,0,1,780,780
361,0,0,1,540,540,0,0,1,780,780
362,1,80,3,2290,2370,2,150,3,2190,2340
363,0,0,2,1440,1440,0,0,2,1560,1560
364,1,80,1,670,750,0,0,1,600,600
365,0,0,1,600,600,1,80,1,790,870
366,0,0,5,3900,3900,1,90,5,3780,3870
367,1,80,1,730,810,0,0,1,720,720
368,0,0,1,720,720,0,0,1,720,720
369,0,0,3,2040,2040,1,80,3,2170,2250
370,0,0,1,600,600,0,0,1,600,600
371,1,70,2,1550,1620,2,170,2,1450,1620
372,0,0,1,540,540,0,0,1,600,600
373,0,0,2,1440,1440,1,80,2,1390,1470
374,1,90,3,1950,2040,1,80,3,2110,2190
375,1,80,4,2770,2850,1,80,4,2800,2880
376,1,70,2,1580,1650,1,80,2,1570,1650
377,0,0,1,600,600,0,0,1,720,720
378,1,70,1,680,750,1,70,1,800,870
379,0,0,1,840,840,0,0,1,540,540
380,0,0,1,660,660,1,90,1,600,690
381,0,0,1,660,660,1,70,1,800,870
382,2,150,5,3210,3360,1,80,4,3190,3270
383,0,0,1,720,720,0,0,1,720,720
384,1,80,1,670,750,0,0,1,720,720
385,1,70,1,680,750,0,0,1,600,600
386,1,90,1,720,810,0,0,1,780,780
387,0,0,1,540,540,0,0,1,540,540
388,0,0,1,780,780,0,0,1,720,720
389,1,80,1,790,870,0,0,1,540,540
390,1,90,1,600,690,0,0,1,660,660
391,1,90,1,780,870,0,0,1,660,660
392,1,80,2,1360,1440,1,80,2,1330,1410
393,1,90,2,1380,1470,0,0,2,1440,1440
394,0,0,1,780,780,0,0,1,780,780
395,1,90,1,660,750,1,80,1,610,690
396,1,70,1,560,630,1,70,1,650,720
397,0,0,1,600,600,1,70,1,620,690
398,0,0,1,720,720,0,0,1,600,600
399,1,70,2,1520,1590,1,80,2,1360,1440
400,0,0,1,660,660,0,0,1,660,660
401,0,0,5,3540,3540,0,0,5,3540,3540
402,2,150,4,2820,2970,1,80,4,2890,2970
403,0,0,3,2160,2160,1,80,3,2110,2190
404,1,70,1,800,870,1,70,1,770,840
405,0,0,1,780,780,0,0,1,660,660
406,1,80,1,610,690,1,80,1,610,690
407,0,0,1,600,600,0,0,1,600,600
408,0,0,2,1380,1380,1,80,2,1570,1650
409,0,0,4,2580,2580,2,150,3,2370,2520
410,0,0,1,540,540,0,0,1,600,600
411,0,0,1,720,720,0,0,1,720,720
412,1,70,1,560,630,0,0,1,780,780
413,0,0,3,2220,2220,0,0,3,2220,2220
414,0,0,1,540,540,0,0,1,540,540
415,0,0,1,780,780,0,0,1,780,780
416,1,70,5,3620,3690,1,80,5,3640,3720
417,1,90,1,600,690,1,80,1,700,780
418,0,0,1,780,780,0,0,1,780,780
419,0,0,2,1560,1560,1,90,2,1500,1590
420,1,70,1,650,720,0,0,1,780,780
421,1,70,2,1340,1410,0,0,1,660,660
422,2,160,2,1370,1530,1,80,2,1300,1380
423,3,260,3,2020,2280,1,80,3,1840,1920
424,0,0,1,720,720,0,0,1,720,720
425,0,0,1,720,720,0,0,1,840,840
426,2,150,2,1590,1740,1,70,2,1640,1710
427,0,0,1,660,660,0,0,1,720,720
428,0,0,1,540,540,0,0,1,780,780
429,0,0,2,1500,1500,0,0,2,1500,1500
430,1,80,4,2950,3030,0,0,4,3060,3060
431,0,0,1,720,720,1,80,1,520,600
432,0,0,1,720,720,1,80,1,670,750
433,0,0,1,780,780,0,0,1,780,780
434,1,70,1,620,690,1,70,1,830,900
435,0,0,1,780,780,1,80,1,580,660
436,1,80,2,1570,1650,1,80,2,1540,1620
437,0,0,2,1500,1500,2,150,2,1380,1530
438,1,80,1,790,870,0,0,1,840,840
439,1,80,1,670,750,0,0,1,600,600
440,1,70,2,1160,1230,1,80,2,1270,1350
441,1,70,1,620,690,0,0,1,840,840
442,1,80,1,730,810,1,70,1,710,780
443,1,90,2,1440,1530,1,70,2,1460,1530
444,1,70,2,1520,1590,1,70,2,1520,1590
445,1,70,2,1340,1410,0,0,2,1380,1380
446,0,0,1,540,540,1,80,1,670,750
447,0,0,1,540,540,0,0,1,540,540
448,0,0,2,1380,1380,1,90,2,1320,1410
449,1,70,2,1490,1560,0,0,2,1440,1440
450,2,150,2,1500,1650,0,0,2,1260,1260
451,0,0,1,660,660,0,0,1,660,660
452,1,80,2,1270,1350,0,0,2,1320,1320
453,0,0,1,600,600,0,0,1,600,600
454,1,80,2,1510,1590,1,80,2,1510,1590
455,1,90,3,2040,2130,0,0,3,2100,2100
456,1,90,1,780,870,0,0,1,600,600
457,0,0,2,1500,1500,1,80,2,1450,1530
458,1,90,1,810,900,0,0,1,720,720
459,1,80,1,550,630,1,80,1,610,690
460,1,80,2,1450,1530,2,170,2,1300,1470
461,1,80,1,730,810,0,0,1,540,540
462,1,90,3,2340,2430,1,80,3,1900,1980
463,0,0,1,780,780,0,0,1,780,780
464,0,0,3,1980,1980,2,150,3,2040,2190
465,1,70,2,1400,1470,1,90,2,1380,1470
466,0,0,1,780,780,1,80,1,580,660
467,2,160,4,2840,3000,0,0,4,3180,3180
468,0,0,2,1200,1200,0,0,2,1140,1140
469,1,90,1,690,780,1,70,1,740,810
470,0,0,3,2280,2280,0,0,3,2280,2280
471,0,0,2,1500,1500,0,0,2,1260,1260
472,1,70,1,860,930,1,90,1,660,750
473,1,80,2,1150,1230,1,80,2,1150,1230
474,1,80,2,1450,1530,0,0,2,1500,1500
475,0,0,1,540,540,0,0,1,540,540
476,0,0,1,780,780,0,0,1,780,780
477,1,70,1,620,690,0,0,1,780,780
478,0,0,3,2340,2340,2,160,3,2090,2250
479,1,70,2,1310,1380,1,70,2,1400,1470
480,1,80,1,760,840,0,0,1,840,840
481,1,90,1,750,840,0,0,1,840,840
482,0,0,1,660,660,0,0,1,600,600
483,1,70,1,560,630,0,0,1,600,600
484,0,0,1,780,780,0,0,1,600,600
485,0,0,1,660,660,0,0,1,540,540
486,1,90,2,1260,1350,1,90,2,1560,1650
487,0,0,1,840,840,1,80,1,730,810
488,0,0,1,780,780,0,0,1,540,540
489,0,0,2,1440,1440,0,0,2,1440,1440
490,1,80,1,610,690,1,90,1,600,690
491,0,0,3,1920,1920,0,0,3,1980,1980
492,1,80,4,2860,2940,1,90,4,2850,2940
493,0,0,1,660,660,0,0,1,540,540
494,1,70,2,1280,1350,1,80,2,1450,1530
495,0,0,1,540,540,0,0,1,540,540
496,1,70,1,560,630,1,80,1,730,810
497,1,80,4,2920,3000,1,80,4,2800,2880
498,0,0,1,720,720,1,80,1,790,870
499,0,0,1,780,780,0,0,1,780,780
500,0,0,1,720,720,0,0,1,720,720
501,0,0,2,1440,1440,1,90,2,1470,1560
502,0,0,1,840,840,0,0,1,780,780
503,1,90,1,780,870,0,0,1,600,600
504,1,80,1,550,630,1,70,1,560,630
505,1,80,1,610,690,1,80,1,610,690
506,0,0,3,2220,2220,0,0,3,2220,2220
507,0,0,4,2700,2700,0,0,4,2820,2820
508,0,0,3,2340,2340,1,80,3,2260,2340
509,1,70,3,2420,2490,2,160,3,2270,2430
510,0,0,1,780,780,0,0,1,780,780
511,1,80,1,730,810,1,70,1,800,870
512,1,90,1,600,690,0,0,1,720,720
513,1,80,1,760,840,1,70,1,620,690
514,0,0,2,1320,1320,1,80,2,1300,1380
515,0,0,3,2160,2160,0,0,3,2220,2220
516,1,80,1,580,660,0,0,1,660,660
517,1,80,1,670,750,1,80,1,760,840
518,0,0,1,720,720,0,0,1,720,720
519,0,0,1,660,660,0,0,1,840,840
520,0,0,2,1560,1560,1,80,2,1450,1530
521,0,0,1,720,720,1,70,1,620,690
522,0,0,1,660,660,0,0,1,780,780
523,0,0,2,1260,1260,0,0,2,1260,1260
524,0,0,1,540,540,1,90,1,660,750
525,0,0,2,1560,1560,1,90,2,1320,1410
526,1,70,1,740,810,1,80,1,610,690
527,1,90,1,780,870,1,70,1,680,750
528,0,0,2,1140,1140,0,0,2,1140,1140
529,0,0,2,1140,1140,0,0,2,1140,1140
530,1,70,2,1580,1650,1,80,2,1450,1530
531,0,0,1,660,660,0,0,1,720,720
532,1,70,3,1910,1980,0,0,3,1920,1920
533,1,80,1,730,810,1,80,1,700,780
534,2,170,3,2110,2280,0,0,3,2160,2160
535,0,0,1,720,720,1,80,1,610,690
536,0,0,1,720,720,0,0,1,720,720
537,1,80,3,2140,2220,0,0,3,1920,1920
538,1,80,1,730,810,0,0,1,780,780
539,0,0,2,1560,1560,0,0,2,1560,1560
540,0,0,1,780,780,1,70,1,710,780
541,0,0,1,780,780,0,0,1,780,780
542,0,0,2,1440,1440,0,0,2,1440,1440
543,0,0,1,780,780,0,0,1,780,780
544,0,0,2,1140,1140,0,0,2,1080,1080
545,1,70,1,530,600,0,0,1,540,540
546,0,0,1,660,660,0,0,1,780,780
547,0,0,1,840,840,0,0,1,540,540
548,1,70,2,1520,1590,0,0,2,1140,1140
549,0,0,1,780,780,0,0,1,540,540
550,0,0,5,3360,3360,1,70,5,3230,3300
551,0,0,1,720,720,0,0,1,720,720
552,1,80,2,1270,1350,1,90,2,1440,1530
553,0,0,1,600,600,0,0,1,840,840
554,0,0,3,2220,2220,0,0,3,1980,1980
555,0,0,1,600,600,0,0,1,780,780
556,1,90,2,1440,1530,1,70,2,1340,1410
557,0,0,2,1200,1200,1,70,2,1400,1470
558,1,80,1,610,690,0,0,1,540,540
559,0,0,1,780,780,0,0,1,780,780
560,0,0,2,1200,1200,2,180,2,1110,1290
561,1,90,4,2880,2970,0,0,4,2880,2880
562,1,80,1,520,600,0,0,1,600,600
563,0,0,1,780,780,0,0,1,660,660
564,1,80,2,1240,1320,0,0,2,1440,1440
565,0,0,4,2760,2760,1,80,4,2770,2850
566,1,70,1,830,900,1,80,1,850,930
567,1,90,1,720,810,0,0,1,660,660
568,1,70,3,2210,2280,0,0,3,2280,2280
569,1,80,4,2860,2940,0,0,4,2880,2880
570,0,0,2,1500,1500,1,80,2,1420,1500
571,0,0,1,660,660,0,0,1,660,660
572,1,80,2,1510,1590,2,160,2,1490,1650
573,0,0,3,2160,2160,1,70,3,2090,2160
574,2,160,4,2600,2760,1,80,4,2560,2640
575,0,0,3,2160,2160,2,170,3,1750,1920
576,0,0,1,720,720,1,80,1,820,900
577,0,0,3,2100,2100,0,0,3,2100,2100
578,0,0,1,660,660,0,0,1,600,600
579,1,70,5,3260,3330,2,170,5,3280,3450
580,0,0,1,840,840,0,0,1,600,600
581,1,90,1,600,690,0,0,1,600,600
582,0,0,1,720,720,0,0,1,720,720
583,1,80,1,610,690,0,0,1,780,780
584,1,90,2,1050,1140,0,0,2,1200,1200
